[System: 192.168.1.170] INFO | 09-25-2025 15:26:32.208 | Contracts::Entering GetPostingDetails
[System: 192.168.1.99] INFO | 09-25-2025 15:27:50.996 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 09-25-2025 15:27:50.996 | Common:: DecodeBase64 START
[System: 192.168.1.99] ERROR | 09-25-2025 15:27:51.059 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 09-25-2025 15:27:51.210 | Common:: DecodeBase64 START
[System: 192.168.1.170] INFO | 09-25-2025 15:27:51.210 | Common:: deCodeLevel1 START
[System: 192.168.1.170] INFO | 09-25-2025 15:27:51.210 | Common:: DecodeBase64 START
[System: 192.168.1.170] ERROR | 09-25-2025 15:27:51.296 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 09-25-2025 15:27:54.020 | Common:: IsBase64 Checking START
[System: 192.168.1.170] INFO | 09-25-2025 15:27:54.020 | Common:: DecodeBase64 START
[System: 192.168.1.170] INFO | 09-25-2025 15:27:54.020 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.170] INFO | 09-25-2025 15:27:54.036 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.170] ERROR | 09-25-2025 15:27:54.036 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] ERROR | 09-25-2025 15:27:55.255 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 09-25-2025 15:27:55.271 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 09-25-2025 15:27:55.271 | Common:: deCodeLevel1 START
[System: 192.168.1.56] INFO | 09-25-2025 15:27:55.271 | Common:: DecodeBase64 START
[System: 192.168.1.56] ERROR | 09-25-2025 15:27:55.317 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:00.119 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 09-25-2025 15:28:12.882 | Contracts::Entering GetPostingDetails
[System: 192.168.1.170] INFO | 09-25-2025 15:28:12.898 | Contracts::Exiting GetPostingDetails
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:12.898 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 09-25-2025 15:28:12.913 | Contracts::Entering SaveContract
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:13.308 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 09-25-2025 15:28:17.942 | Contracts::Entering GetCostCenterNodeID
[System: 192.168.1.170] INFO | 09-25-2025 15:28:17.958 | Contracts::Exiting GetCostCenterNodeID
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:17.958 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:17.973 | GetScreenInfo:: GetScreenInfo
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:18.020 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.083 | Contracts::Entering GetNextContractNo
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.098 | Contracts::Exiting GetNextContractNo
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:18.098 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:18.145 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.161 | Cases:: Inside GetActivitiesCustomFields
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.176 | Cases:: Success: DBH.GetActivitiesCustomFields 
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:18.176 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.192 | Common:: DecodeBase64 START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.192 | ReportLayout:: GetDataSet START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.192 | ReportLayout:: GetDataSet END
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:18.192 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:18.207 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.223 | Common:: DecodeBase64 START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.223 | ReportLayout:: GetDataSet START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.223 | ReportLayout:: GetDataSet END
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:18.223 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:18.254 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:18.270 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:18.301 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.481 | Common:: IsBase64 Checking START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.481 | Common:: DecodeBase64 START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.481 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.497 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:18.497 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.513 | Common:: IsBase64 Checking START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.513 | Common:: DecodeBase64 START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.513 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.528 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:18.528 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.560 | Common:: IsBase64 Checking START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.560 | Common:: DecodeBase64 START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.560 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.591 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:18.591 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.606 | Common:: IsBase64 Checking START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.606 | Common:: DecodeBase64 START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.606 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.637 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:18.637 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.669 | Common:: IsBase64 Checking START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.669 | Common:: DecodeBase64 START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.669 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.684 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:18.684 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.700 | Common:: IsBase64 Checking START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.700 | Common:: DecodeBase64 START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.700 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.716 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:18.716 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.731 | Common:: IsBase64 Checking START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.731 | Common:: DecodeBase64 START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.731 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.747 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:18.747 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.763 | Common:: IsBase64 Checking START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.763 | Common:: DecodeBase64 START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.763 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.778 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:18.778 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.809 | Common:: IsBase64 Checking START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.809 | Common:: DecodeBase64 START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.809 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.841 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:18.841 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.856 | Common:: IsBase64 Checking START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.856 | Common:: DecodeBase64 START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.856 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.872 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:18.872 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.903 | Common:: IsBase64 Checking START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.903 | Common:: DecodeBase64 START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.903 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.919 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:18.919 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.950 | Common:: IsBase64 Checking START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.950 | Common:: DecodeBase64 START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.950 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.170] INFO | 09-25-2025 15:28:18.981 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:18.981 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 09-25-2025 15:28:19.044 | Common:: IsBase64 Checking START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:19.044 | Common:: DecodeBase64 START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:19.044 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.170] INFO | 09-25-2025 15:28:19.059 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:19.059 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 09-25-2025 15:28:19.075 | Common:: IsBase64 Checking START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:19.075 | Common:: DecodeBase64 START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:19.075 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.170] INFO | 09-25-2025 15:28:19.091 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:19.091 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 09-25-2025 15:28:19.106 | Common:: IsBase64 Checking START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:19.106 | Common:: DecodeBase64 START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:19.106 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.170] INFO | 09-25-2025 15:28:19.106 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:19.122 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 09-25-2025 15:28:19.122 | Common:: IsBase64 Checking START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:19.122 | Common:: DecodeBase64 START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:19.122 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.170] INFO | 09-25-2025 15:28:19.137 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:19.137 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 09-25-2025 15:28:19.153 | Common:: IsBase64 Checking START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:19.153 | Common:: DecodeBase64 START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:19.153 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.170] INFO | 09-25-2025 15:28:19.169 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:19.169 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 09-25-2025 15:28:19.325 | Common:: IsBase64 Checking START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:19.325 | Common:: DecodeBase64 START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:19.325 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.170] INFO | 09-25-2025 15:28:19.325 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:19.340 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 09-25-2025 15:28:22.628 | Common:: IsBase64 Checking START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:22.628 | Common:: DecodeBase64 START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:22.628 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.170] INFO | 09-25-2025 15:28:22.643 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:22.643 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 09-25-2025 15:28:26.923 | Contracts::Entering GetParticularsDetails
[System: 192.168.1.170] INFO | 09-25-2025 15:28:27.399 | Contracts::Exiting GetParticularsDetails
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:27.415 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 09-25-2025 15:28:27.430 | Common:: IsBase64 Checking START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:27.430 | Common:: DecodeBase64 START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:27.430 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.170] INFO | 09-25-2025 15:28:27.446 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:27.461 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:27.540 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 09-25-2025 15:28:27.555 | Administration:: Entering GetCostCenterListViewDataByIDs
[System: 192.168.1.170] INFO | 09-25-2025 15:28:27.555 | Administration:: Exiting GetCostCenterListViewDataByIDs
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:27.571 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 09-25-2025 15:28:27.680 | Common:: IsBase64 Checking START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:27.680 | Common:: DecodeBase64 START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:27.680 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.170] INFO | 09-25-2025 15:28:27.712 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:27.712 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 09-25-2025 15:28:28.983 | Common:: IsBase64 Checking START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:28.983 | Common:: DecodeBase64 START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:28.983 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.170] INFO | 09-25-2025 15:28:29.014 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:29.014 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 09-25-2025 15:28:29.030 | Common:: IsBase64 Checking START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:29.030 | Common:: DecodeBase64 START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:29.030 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.170] INFO | 09-25-2025 15:28:29.061 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:29.061 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 09-25-2025 15:28:29.077 | Common:: IsBase64 Checking START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:29.077 | Common:: DecodeBase64 START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:29.077 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.170] INFO | 09-25-2025 15:28:29.108 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:29.108 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 09-25-2025 15:28:29.139 | Common:: IsBase64 Checking START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:29.139 | Common:: DecodeBase64 START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:29.139 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.170] INFO | 09-25-2025 15:28:29.170 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:29.170 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 09-25-2025 15:28:29.311 | Common:: IsBase64 Checking START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:29.311 | Common:: DecodeBase64 START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:29.311 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.170] INFO | 09-25-2025 15:28:29.327 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:29.342 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 09-25-2025 15:28:29.358 | Common:: IsBase64 Checking START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:29.358 | Common:: DecodeBase64 START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:29.358 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.170] INFO | 09-25-2025 15:28:29.373 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:29.389 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 09-25-2025 15:28:29.405 | Common:: IsBase64 Checking START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:29.405 | Common:: DecodeBase64 START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:29.405 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.170] INFO | 09-25-2025 15:28:29.420 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:29.420 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.73] INFO | 09-25-2025 15:28:29.873 | Common:: DecodeBase64 START
[System: 192.168.1.73] INFO | 09-25-2025 15:28:29.873 | Common:: deCodeLevel1 START
[System: 192.168.1.73] INFO | 09-25-2025 15:28:29.873 | Common:: DecodeBase64 START
[System: 192.168.1.73] ERROR | 09-25-2025 15:28:29.905 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:30.707 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 09-25-2025 15:28:50.987 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 09-25-2025 15:28:50.987 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 09-25-2025 15:28:50.987 | Common:: DecodeBase64 START
[System: 192.168.1.99] ERROR | 09-25-2025 15:28:51.034 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 09-25-2025 15:28:51.237 | Common:: DecodeBase64 START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:51.237 | Common:: deCodeLevel1 START
[System: 192.168.1.170] INFO | 09-25-2025 15:28:51.237 | Common:: DecodeBase64 START
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:51.300 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 09-25-2025 15:28:55.245 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 09-25-2025 15:28:55.245 | Common:: deCodeLevel1 START
[System: 192.168.1.56] INFO | 09-25-2025 15:28:55.245 | Common:: DecodeBase64 START
[System: 192.168.1.56] ERROR | 09-25-2025 15:28:55.292 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 09-25-2025 15:28:57.454 | Contracts::Entering GetParticularsDetails
[System: 192.168.1.170] INFO | 09-25-2025 15:28:57.501 | Contracts::Exiting GetParticularsDetails
[System: 192.168.1.170] ERROR | 09-25-2025 15:28:57.501 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] ERROR | 09-25-2025 15:29:03.665 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.170] INFO | 09-25-2025 15:29:12.449 | Contracts::Entering GetParticularsDetails
[System: 192.168.1.170] INFO | 09-25-2025 15:29:12.480 | Contracts::Exiting GetParticularsDetails
